area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Mexico (Atlantic)",eez,Reconstructed domestic catch,1,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Mexico",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,75.0000000000,4.007602425
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Reported,bagnets,Direct human consumption,73.9935361062,71253.06759522889
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Reported,hand or tools,Direct human consumption,41.2580297018,39729.97283129033
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,71.9826367971,69316.6451462229
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Reported,small scale encircling nets,Direct human consumption,154.7140938709,148984.01088299832
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,118.1539870593,113777.96588198429
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Reported,small scale other nets,Direct human consumption,48.0933661573,46312.15170965951
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,77.5038999068,74633.41947903774
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Reported,small scale lines,Direct human consumption,42.1004504005,40541.193137058566
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Unreported,bagnets,Direct human consumption,1.6644949665,1602.8477432417483
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Unreported,hand or tools,Direct human consumption,0.9281051614,893.7313078707913
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,1.6192595047,1559.2876488190961
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Unreported,small scale encircling nets,Direct human consumption,3.4803152282,3351.416208204177
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,2.6578905008,2559.4512910035946
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Unreported,small scale other nets,Direct human consumption,1.0818670131,1041.7983443770768
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,1.7434610923,1678.8892326988168
"United Arab Emirates",eez,Reconstructed domestic catch,3,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Arab Emirates",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,0.9470555331,911.9798223594452
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Discards,Unreported,bottom trawl,,62.4155843053
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Discards,Unreported,other,,61.2129229507
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Reported,bottom trawl,Direct human consumption,510.7577899233,305659.8855447434
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.2556345295,0.0023860847735999798
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Reported,bottom trawl,Other,0.2556345295,0.0023860847735999798
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Reported,shrimp trawl,Direct human consumption,0.0376860453,22.55298405680983
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Reported,longline,Direct human consumption,0.1334912316,79.88701372172656
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Reported,purse seine,Direct human consumption,1.2751709291,763.1182684403258
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0038918399,2.32904786155305
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Reported,other,Direct human consumption,3026.2680964729,1811051.692690775
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Reported,other,Fishmeal and fish oil,1.5146486969,0.014137683983066751
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Reported,other,Other,1.5146486969,0.014137683983066751
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,bottom trawl,Direct human consumption,236.9240357515,141785.7447880725
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,bottom trawl,Fishmeal and fish oil,0.1185805985,0.0011068276301596299
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,bottom trawl,Other,0.1185805985,0.0011068276301596299
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,shrimp trawl,Direct human consumption,8.2763366235,4952.92319564735
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,longline,Direct human consumption,0.3431485205,205.3551400882698
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,purse seine,Direct human consumption,3.3028357744,1976.5619334513815
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,gillnet,Direct human consumption,13.0357723523,7801.17849164779
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,other,Direct human consumption,363.2365733472,217376.71284784988
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,other,Fishmeal and fish oil,0.1818000868,0.0016969163740184173
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,other,Other,0.1818000868,0.0016969163740184173
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Industrial,Landings,Unreported,unknown class,Direct human consumption,1890.6925906920,1131473.4542922482
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,0.0921745535,55.16129961362503
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale seine nets,Fishmeal and fish oil,0.0000461334,4.3060782040628745e-07
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale seine nets,Other,0.0000461334,4.3060782040628745e-07
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,95.6217865862,57224.27522427714
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,0.0478587520,0.0004467121079679748
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale gillnets,Other,0.0478587520,0.0004467121079679748
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,827.1277998636,494989.5892437623
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale pots or traps,Fishmeal and fish oil,0.4139778778,0.003864056678160865
"United Kingdom (UK)",eez,Reconstructed domestic catch,2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United Kingdom",Artisanal,Landings,Reported,small scale pots or traps,Other,0.4139778778,0.003864056678160865
