area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Angola",eez,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts",Industrial,Discards,Unreported,gillnet,,2.2084555019
"Angola",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,pots or traps,Direct human consumption,1.9157170917,2245.8889592251185
"Angola",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,bottom trawl,Direct human consumption,1.9170620676,0.2800904056502854
"Angola",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,gillnet,Direct human consumption,244.4758626196,35.71889752056014
"Angola",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,pots or traps,Direct human consumption,1.7152660605,0.25060720505551815
"Angola",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,gillnet,Direct human consumption,0.9074449382,1063.84213858032
"Angola",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,purse seine,Direct human consumption,0.8066177228,945.6374565158401
"Angola",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,small scale trammel net,Direct human consumption,10.5942903735,1.5478680312252635
"Angola",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,purse seine,Direct human consumption,6.4574722277,0.943462419032541
"Bahamas",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0055120073,0.0008053262298616231
"Bahamas",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0009797981,1.1486652677230393
"Bahamas",eez,1950,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0020562346,4.269640666137658
"Bahamas",eez,1950,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes",Industrial,Landings,Reported,pole and line,Direct human consumption,0.0111624163,23.178049330461413
"Bahamas",eez,1950,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0002937478,0.6099486665910926
"Bahamas",eez,1950,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0005874956,1.2198973331821852
"Bahamas",eez,1950,"Thunnus thynnus","Atlantic bluefin tuna","Large pelagics (>=90 cm)","Tuna & billfishes",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.1016367378,211.04223864051707
"Bahamas",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0016363772,0.00023908122449016984
"Bahamas",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,gillnet,Direct human consumption,0.2086811523,0.030489147733667465
"Bahamas",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0014641269,0.00021391477980699453
"Bahamas",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,small scale trammel net,Direct human consumption,0.0090431370,0.0013212383458667259
"Bahamas",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0004125466,0.48364853377812095
"Bahamas",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0004641149,0.5441046005003852
"Bahamas",eez,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts",Industrial,Discards,Unreported,gillnet,,0.0018939284
"Bahamas",eez,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts",Industrial,Discards,Unreported,purse seine,,0.0000252674
"Cameroon",eez,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts",Industrial,Discards,Unreported,gillnet,,0.0007845517
"Cameroon",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0002507454,0.29396108008319055
"Cameroon",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0002228848,0.26129873785172414
"Cameroon",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0006810344,9.950184284123594e-05
"Cameroon",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0022940107,0.00033516410220205936
"Cameroon",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0006093466,8.902796464742149e-05
"Cameroon",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,small scale trammel net,Direct human consumption,0.0037636113,0.0005498786051752511
"Cameroon",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0868498112,0.012689103431806018
"Cameroon",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0005293513,0.6205845023978463
"Cayman Isl. (UK)",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0039972526,0.0005840145365426155
"Cayman Isl. (UK)",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0011866844,0.00017337931553608867
"Cayman Isl. (UK)",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0011413654,1.3380785328459794
"Cayman Isl. (UK)",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0005406468,0.6338266734533581
"Cayman Isl. (UK)",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0004805749,0.5634014875140961
"Cayman Isl. (UK)",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,small scale trammel net,Direct human consumption,0.0065579926,0.0009581488490152301
"Cayman Isl. (UK)",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0010617702,0.0001551288612691319
"Cayman Isl. (UK)",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,gillnet,Direct human consumption,0.1513334869,0.02211042534441804
"Cayman Isl. (UK)",eez,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts",Industrial,Discards,Unreported,gillnet,,0.0013670604
"Congo, R. of",eez,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts",Industrial,Discards,Unreported,gillnet,,0.0393747040
"Congo, R. of",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0305815957,0.004468092975400042
"Congo, R. of",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,bottom trawl,Direct human consumption,0.0341794305,0.004993750972505928
"Congo, R. of",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,pots or traps,Direct human consumption,0.0401249538,47.040448258033656
"Congo, R. of",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0190065571,22.28231759591068
"Congo, R. of",eez,1950,"Sarda sarda","Atlantic bonito","Medium pelagics (30 - 89 cm)","Tuna & billfishes",Industrial,Landings,Reported,purse seine,Direct human consumption,0.0168947174,19.80650452969837
"Congo, R. of",eez,1950,"Marine pelagic fishes not identified","Pelagic fishes","Medium pelagics (30 - 89 cm)","Other fishes & inverts",Industrial,Landings,Reported,small scale trammel net,Direct human consumption,0.1888863267,0.027597044848059072
